 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,2.930,27.038,10.438,55.610,-49.185,0.446,9.084,662.500,657.000,130.815,0.000,0.000,0.000,NaN,9.084
2,3.320,31.951,14.459,67.804,-31.551,0.382,10.451,816.000,696.000,148.449,0.000,0.000,0.000,NaN,10.451
3,2.051,45.368,17.781,86.200,-51.116,0.666,6.223,741.000,708.000,128.884,0.000,0.000,0.000,NaN,6.223
4,2.832,32.358,15.714,57.250,-90.000,0.482,8.594,638.500,739.000,90.000,0.000,0.000,0.000,NaN,8.594
5,2.051,45.015,18.503,77.365,-50.013,0.645,6.322,684.000,693.500,129.987,0.000,0.000,0.000,NaN,6.322
6,2.637,25.830,9.154,59.000,-30.018,0.502,8.120,877.000,780.000,149.982,0.000,0.000,0.000,NaN,8.120
7,3.320,40.195,9.222,147.095,-20.659,0.402,10.186,767.500,744.500,159.341,0.000,0.000,0.000,NaN,10.186
8,2.051,15.432,5.250,48.000,-39.806,0.692,6.102,756.500,772.000,140.194,0.000,0.000,0.000,NaN,6.102
9,1.758,14.196,4.074,24.750,-46.219,0.819,5.194,722.500,791.500,133.781,0.000,0.000,0.000,NaN,5.194
10,2.832,25.019,0.107,122.750,-31.675,0.478,8.629,647.500,859.500,148.325,0.000,0.000,0.000,NaN,8.629
11,2.344,0.910,0.000,10.000,-29.899,0.567,7.210,811.500,880.000,150.101,4.441E-16,0.000,0.000,NaN,7.210
12,2.051,23.319,6.500,45.000,-23.962,0.680,6.156,707.500,597.500,156.038,0.000,0.000,0.000,NaN,6.156
13,2.930,19.257,6.414,30.941,3.013,0.463,8.919,768.500,582.500,3.013,5.551E-17,0.000,0.000,NaN,8.919
14,2.344,44.242,16.922,76.856,-27.699,0.591,7.059,749.000,601.500,152.301,8.882E-16,0.000,0.000,NaN,7.059
15,2.246,42.636,9.795,100.909,0.000,0.625,6.719,770.500,646.000,0.000,0.000,0.000,0.000,NaN,6.719
16,2.246,31.117,6.665,66.810,-26.565,0.578,6.988,852.000,667.500,153.435,0.000,0.000,0.000,NaN,6.988
17,2.637,11.820,1.568,26.793,-13.496,0.513,8.034,878.500,646.000,166.504,0.000,0.000,0.000,NaN,8.034
18,1.758,7.605,4.294,14.000,-13.241,0.742,5.458,882.000,585.000,166.759,0.000,0.000,0.000,NaN,5.458
19,2.539,11.678,0.000,43.000,-69.717,0.543,7.663,912.000,642.500,110.283,4.441E-16,0.000,0.000,NaN,7.663
20,2.832,23.920,3.597,46.000,-26.565,0.466,8.735,817.000,849.000,153.435,0.000,0.000,0.000,NaN,8.735
21,2.539,23.879,5.022,59.957,-56.310,0.513,7.887,833.000,785.000,123.690,0.000,0.000,0.000,NaN,7.887
22,2.637,10.910,0.000,86.250,-52.696,0.487,8.250,896.500,844.500,127.304,0.000,0.000,0.000,NaN,8.250
23,2.344,26.963,12.000,72.750,-31.608,0.575,7.155,900.500,827.500,148.392,0.000,0.000,0.000,NaN,7.155
24,2.441,53.580,11.875,109.500,-24.944,0.559,7.410,585.500,700.500,155.056,0.000,0.000,0.000,NaN,7.410
25,2.637,71.521,47.432,99.250,-28.072,0.522,7.969,612.500,617.500,151.928,0.000,0.000,0.000,NaN,7.969
26,2.344,56.232,15.968,95.951,-44.119,0.571,7.182,764.500,801.500,135.881,0.000,0.000,0.000,NaN,7.182
27,2.148,48.649,16.858,98.235,-50.906,0.650,6.442,799.500,831.000,129.094,0.000,0.000,0.000,NaN,6.442
28,2.344,32.123,20.000,48.915,-102.804,0.593,7.050,885.000,834.500,77.196,2.220E-16,0.000,0.000,NaN,7.050
29,1.953,41.765,13.297,67.767,-47.121,0.689,5.970,875.500,841.500,132.879,0.000,0.000,0.000,NaN,5.970
30,2.930,21.789,7.867,52.960,-48.447,0.436,9.187,855.500,913.000,131.553,0.000,0.000,0.000,NaN,9.187
31,2.441,18.347,6.000,29.500,-32.005,0.565,7.370,781.000,957.000,147.995,4.441E-16,0.000,0.000,NaN,7.370
32,2.539,44.653,19.180,80.140,-2.291,0.522,7.819,753.000,1002.500,177.709,0.000,0.000,0.000,NaN,7.819
33,2.148,24.423,13.476,46.150,-51.766,0.627,6.564,868.500,962.500,128.234,4.441E-16,0.000,0.000,NaN,6.564
34,2.246,25.855,10.000,54.636,-29.427,0.577,6.996,843.000,952.500,150.573,0.000,0.000,0.000,NaN,6.996
35,2.832,15.527,6.128,48.000,-18.759,0.465,8.746,903.000,1011.500,161.241,0.000,0.000,0.000,NaN,8.746
36,2.734,4.290,0.000,18.623,34.287,0.496,8.321,858.500,1084.000,34.287,4.441E-16,0.000,0.000,NaN,8.321
37,2.051,20.061,6.391,51.000,-10.176,0.672,6.191,823.500,1014.500,169.824,0.000,0.000,0.000,NaN,6.191
38,1.465,2.428,0.000,18.500,-22.932,0.946,4.411,630.500,1003.000,157.068,0.000,0.000,0.000,NaN,4.411
39,2.148,47.612,7.051,95.255,20.556,0.606,6.675,641.500,894.500,20.556,0.000,0.000,0.000,NaN,6.675
40,1.855,47.260,20.000,62.352,-40.601,0.702,5.762,638.500,922.000,139.399,4.441E-16,0.000,0.000,NaN,5.762
41,1.953,17.004,8.474,32.000,-56.725,0.686,5.981,842.000,878.000,123.275,4.441E-16,0.000,0.000,NaN,5.981
42,2.539,11.687,0.481,54.500,-3.504,0.542,7.671,926.000,923.500,176.496,0.000,0.000,0.000,NaN,7.671
43,2.148,9.083,0.333,46.000,5.572,0.652,6.437,940.500,951.000,5.572,0.000,0.000,0.000,NaN,6.437
44,2.051,8.751,3.675,25.000,-51.116,0.666,6.223,1019.000,1024.500,128.884,0.000,0.000,0.000,NaN,6.223
45,2.148,7.924,0.000,16.000,5.440,0.621,6.592,969.000,1082.000,5.440,0.000,0.000,0.000,NaN,6.592
46,2.148,8.180,0.000,20.643,30.256,0.637,6.512,989.500,1063.500,30.256,0.000,0.000,0.000,NaN,6.512
47,2.246,12.722,1.273,38.000,-31.866,0.609,6.807,862.500,1122.000,148.134,0.000,0.000,0.000,NaN,6.807
48,1.660,55.901,21.000,134.172,-42.510,0.806,5.087,845.000,1146.500,137.490,0.000,0.000,0.000,NaN,5.087
49,1.367,16.831,2.960,45.750,-32.471,1.000,4.075,799.500,1106.500,147.529,0.000,0.000,0.000,NaN,4.075
50,2.344,21.813,4.957,100.000,-26.565,0.547,7.337,750.000,1100.000,153.435,0.000,0.000,0.000,NaN,7.337
51,2.051,16.675,0.000,64.000,1.432,0.659,6.252,809.000,1145.500,1.432,0.000,0.000,0.000,NaN,6.252
52,2.051,5.129,0.000,18.000,5.856,0.687,6.126,852.000,1182.000,5.856,0.000,0.000,0.000,NaN,6.126
53,1.660,16.823,9.883,27.000,-3.691,0.886,4.854,930.000,1156.000,176.309,0.000,0.000,0.000,NaN,4.854
54,1.660,15.750,7.000,28.000,-14.036,0.785,5.154,952.000,1120.500,165.964,0.000,0.000,0.000,NaN,5.154
55,1.855,13.172,5.125,27.926,-36.870,0.780,5.469,1022.500,1119.000,143.130,0.000,0.000,0.000,NaN,5.469
56,1.758,34.079,22.249,57.500,-15.709,0.819,5.194,783.500,1231.000,164.291,0.000,0.000,0.000,NaN,5.194
57,1.562,64.680,37.500,98.000,-45.000,0.912,4.640,760.000,1138.500,135.000,0.000,0.000,0.000,NaN,4.640
58,2.441,75.288,6.278,219.800,-21.125,0.565,7.370,778.000,1165.000,158.875,0.000,0.000,0.000,NaN,7.370
59,2.148,49.206,11.905,85.167,-27.759,0.600,6.710,802.500,1190.000,152.241,0.000,0.000,0.000,NaN,6.710
