 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,1.436,12.471,0.531,52.244,-39.936,0.228,8.902,948,1753,140.064,0.000,0.000,0.000,NaN,8.902
2,1.285,16.379,0.304,72.000,-45.807,0.254,7.970,924,1665,134.193,4.441E-16,0.000,0.000,NaN,7.970
3,1.436,52.290,15.612,98.000,25.201,0.225,8.947,1257,1669,25.201,0.000,0.000,0.000,NaN,8.947
4,1.512,62.946,8.370,137.251,-46.364,0.214,9.431,1180,1617,133.636,0.000,0.000,0.000,NaN,9.431
5,1.209,42.656,5.708,119.000,-47.564,0.268,7.528,1160,1553,132.436,0.000,0.000,0.000,NaN,7.528
6,1.184,60.541,22.771,109.917,-51.147,0.276,7.338,1315,1524,128.853,4.441E-16,0.000,0.000,NaN,7.338
7,1.184,24.433,4.000,47.374,-52.125,0.284,7.239,1444,1460,127.875,8.882E-16,0.000,0.000,NaN,7.239
8,1.260,28.139,0.449,84.488,-42.510,0.263,7.752,1283,1264,137.490,0.000,0.000,0.000,NaN,7.752
9,1.058,14.610,0.079,40.000,-43.025,0.313,6.514,1263,1296,136.975,0.000,0.000,0.000,NaN,6.514
10,1.058,43.265,15.297,87.344,-43.025,0.313,6.514,1665,1511,136.975,0.000,0.000,0.000,NaN,6.514
11,1.209,54.208,16.250,119.465,-28.217,0.279,7.386,1687,1573,151.783,4.441E-16,0.000,0.000,NaN,7.386
12,0.882,80.749,44.266,173.000,-13.627,0.381,5.390,1528,1897,166.373,2.220E-16,0.000,0.000,NaN,5.390
13,0.882,39.747,5.971,100.662,-30.379,0.389,5.336,1184,1819,149.621,4.441E-16,0.000,0.000,NaN,5.336
14,1.109,43.180,9.863,89.425,-49.686,0.295,6.870,1225,1872,130.314,0.000,0.000,0.000,NaN,6.870
15,1.235,59.420,21.528,110.444,-23.356,0.268,7.607,1273,1800,156.644,0.000,0.000,0.000,NaN,7.607
16,0.932,91.912,19.000,189.000,-37.185,0.351,5.778,1368,1665,142.815,0.000,0.000,0.000,NaN,5.778
17,0.806,38.152,7.394,87.000,-39.806,0.412,4.959,1365,1589,140.194,0.000,0.000,0.000,NaN,4.959
18,0.655,26.185,7.893,49.330,-26.565,0.540,3.904,1101,1361,153.435,0.000,0.000,0.000,NaN,3.904
19,1.184,71.253,20.045,118.741,-32.661,0.275,7.353,1013,1360,147.339,4.441E-16,0.000,0.000,NaN,7.353
