 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,2.915,48.697,3.500,208.000,-48.366,0.265,11.748,818,949,131.634,0.000,0.000,0.000,NaN,11.748
2,2.439,10.607,0.892,50.000,-55.125,0.318,9.811,587,536,124.875,0.000,0.000,0.000,NaN,9.811
3,2.439,49.266,6.475,101.400,-41.987,0.316,9.844,526,613,138.013,0.000,0.000,0.000,NaN,9.844
4,2.439,21.205,1.600,80.080,-78.408,0.325,9.710,998,466,101.592,0.000,0.000,0.000,NaN,9.710
5,2.974,36.033,3.531,119.796,-85.333,0.260,11.991,904,703,94.667,0.000,0.000,0.000,NaN,11.991
6,1.963,50.541,3.605,196.477,-33.690,0.394,7.915,676,588,146.310,0.000,0.000,0.000,NaN,7.915
7,1.963,48.421,12.125,194.000,-106.189,0.398,7.873,711,633,73.811,0.000,0.000,0.000,NaN,7.873
8,1.963,39.858,1.062,169.000,-43.727,0.409,7.763,756,569,136.273,4.441E-16,0.000,0.000,NaN,7.763
9,1.725,10.228,0.000,76.000,-55.176,0.464,6.834,601,726,124.824,0.000,0.000,0.000,NaN,6.834
10,2.082,12.604,0.000,134.000,-45.000,0.382,8.278,551,805,135.000,0.000,0.000,0.000,NaN,8.278
11,2.023,37.692,0.000,200.000,-113.429,0.400,7.975,526,759,66.571,0.000,0.000,0.000,NaN,7.975
12,1.428,33.958,8.590,78.480,-25.463,0.557,5.673,551,464,154.537,0.000,0.000,0.000,NaN,5.673
13,2.023,20.572,0.000,73.636,-95.194,0.389,8.082,733,476,84.806,0.000,0.000,0.000,NaN,8.082
14,2.082,41.537,8.529,108.706,-59.621,0.389,8.199,829,354,120.379,0.000,0.000,0.000,NaN,8.199
15,1.785,49.485,14.625,128.702,-59.036,0.444,7.111,827,424,120.964,0.000,0.000,0.000,NaN,7.111
16,1.428,22.702,5.510,48.193,-59.036,0.554,5.689,1084,435,120.964,0.000,0.000,0.000,NaN,5.689
17,2.439,39.869,5.640,87.295,-56.310,0.328,9.673,997,613,123.690,8.882E-16,0.000,0.000,NaN,9.673
