 ,Area,Mean,Min,Max,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity,Length
1,1.268,15.672,0.062,44.000,-23.749,0.472,5.811,681.500,1278.000,156.251,0.000,0.000,0.000,NaN,5.811
2,1.992,14.852,0.262,59.821,-34.061,0.301,9.117,465.500,1332.500,145.939,0.000,0.000,0.000,NaN,9.117
3,1.947,50.045,0.452,129.750,-56.121,0.304,8.970,538.000,1564.500,123.879,0.000,0.000,0.000,NaN,8.970
4,1.403,62.203,32.833,110.800,19.654,0.441,6.326,673.500,1580.500,19.654,4.441E-16,0.000,0.000,NaN,6.326
5,1.449,34.442,0.403,70.402,-53.499,0.416,6.617,634.500,1505.500,126.501,0.000,0.000,0.000,NaN,6.617
6,1.268,11.333,0.000,43.000,-44.236,0.500,5.642,801.000,1378.000,135.764,4.441E-16,0.000,0.000,NaN,5.642
7,1.358,36.611,18.703,60.000,-49.939,0.456,6.116,842.500,1394.500,130.061,4.441E-16,0.000,0.000,NaN,6.116
8,1.449,38.125,0.659,85.886,-166.866,0.424,6.554,845.500,1517.000,13.134,0.000,0.000,0.000,NaN,6.554
9,0.905,5.702,0.000,36.000,-43.919,0.716,3.988,796.500,1508.000,136.081,0.000,0.000,0.000,NaN,3.988
10,1.132,65.300,45.359,90.438,-55.305,0.559,5.046,960.500,1411.000,124.695,0.000,0.000,0.000,NaN,5.046
11,2.445,56.855,0.077,109.693,-64.885,0.241,11.279,675.000,1550.000,115.115,0.000,0.000,0.000,NaN,11.279
12,2.445,56.855,0.077,109.693,-64.885,0.241,11.279,675.000,1550.000,115.115,0.000,0.000,0.000,NaN,11.279
13,1.449,42.525,16.060,86.314,-37.235,0.408,6.681,989.000,1328.500,142.765,0.000,0.000,0.000,NaN,6.681
14,1.856,42.341,2.406,112.916,-62.140,0.329,8.423,1014.000,1408.000,117.860,0.000,0.000,0.000,NaN,8.423
15,1.630,41.680,8.185E-12,65.788,-73.379,0.370,7.438,1138.000,1427.500,106.621,0.000,0.000,0.000,NaN,7.438
16,1.811,45.779,20.800,71.611,-84.806,0.336,8.225,1193.000,1423.500,95.194,0.000,0.000,0.000,NaN,8.225
17,1.222,38.398,4.142,100.750,-116.075,0.496,5.567,1183.000,1256.000,63.925,0.000,0.000,0.000,NaN,5.567
18,1.132,41.504,23.736,62.333,-109.179,0.530,5.181,1099.500,1257.500,70.821,0.000,0.000,0.000,NaN,5.181
19,1.041,20.672,5.500,51.000,-122.276,0.572,4.781,1070.000,1273.000,57.724,0.000,0.000,0.000,NaN,4.781
20,1.313,42.933,8.143,83.000,-59.744,0.472,5.912,1043.000,1250.000,120.256,0.000,0.000,0.000,NaN,5.912
21,1.539,47.531,24.793,74.667,-78.518,0.401,6.948,1191.000,1432.000,101.482,0.000,0.000,0.000,NaN,6.948
22,1.584,65.212,40.221,95.000,-62.676,0.386,7.185,1272.500,1424.000,117.324,4.441E-16,0.000,0.000,NaN,7.185
23,1.584,53.381,18.959,132.000,-98.489,0.383,7.207,1283.000,1261.500,81.511,0.000,0.000,0.000,NaN,7.207
24,1.358,74.817,36.711,110.854,-114.775,0.460,6.093,1633.000,1240.000,65.225,0.000,0.000,0.000,NaN,6.093
